MSA name,Output
1208.ID_663:binShort:2_left_left__REDUCED__10688-10760___10756-10805__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1209.ID_171:binShort:2_left_left__REDUCED__13978-14030___14026-14099__DOTS_1,no significant pairs
121.ID_920_left__REDUCED__8017-8104___8066-8119__DOTS_1,no significant pairs
1210.ID_251:binShort:4_left_left__REDUCED__3976-4034___4030-4076__DOTS_1,no significant pairs
1211.ID_488:binShort:3_left_left__REDUCED__10283-10318___10314-10358__DOTS_1,no significant pairs
1212.ID_422:binShort:4_left_left__REDUCED__14380-14426___14422-14481__DOTS_1,no significant pairs
1213.ID_646:binShort:1_left_left__REDUCED__16635-16698___16694-16740__DOTS_1,no significant pairs
1214.ID_743:binShort:2_left_left__REDUCED__17440-17488___17484-17541__DOTS_1,no significant pairs
1215.ID_300:binShort:4_left_left__REDUCED__25082-25157___25153-25193__DOTS_1,no significant pairs
1216.ID_549:binShort:1_left_left__REDUCED__25091-25123___25119-25194__DOTS_1,no significant pairs
1217.ID_189:binLong:10_left_left__REDUCED__1140-1235___1232-1305__DOTS_1,no significant pairs
1218.ID_481_left__REDUCED__28623-28701___28698-28774__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1219.ID_638_left__REDUCED__2673-2733___2730-2781__DOTS_1,no significant pairs
122.ID_9:binShort:2_left_left__REDUCED__4851-4906___4868-4927__DOTS_1,no significant pairs
1220.ID_668_left__REDUCED__15804-15837___15834-15899__DOTS_1,no significant pairs
1221.ID_724:binShort:4_left_left__REDUCED__14556-14630___14627-14667__DOTS_1,no significant pairs
1222.ID_754:binShort:4_left_left__REDUCED__5477-5551___5548-5581__DOTS_1,no significant pairs
1223.ID_929:binShort:2_left_left__REDUCED__28828-28876___28873-28953__DOTS_1,no significant pairs
1224.ID_53:binLong:57_left_left__REDUCED__626-687___684-738__DOTS_1,no significant pairs
1225.ID_827:binShort:4_left_left__REDUCED__1310-1370___1367-1406__DOTS_1,no significant pairs
1226.ID_833:binShort:4_left_left__REDUCED__24161-24214___24211-24251__DOTS_1,no significant pairs
1227.ID_770:binShort:2_left_left__REDUCED__5001-5056___5053-5091__DOTS_1,no significant pairs
1228.ID_869:binShort:2_left_left__REDUCED__16147-16187___16184-16249__DOTS_1,no significant pairs
1229.ID_797:binShort:3_left_left__REDUCED__28211-28291___28288-28343__DOTS_1,no significant pairs
123.ID_324:binShort:2_left_left__REDUCED__29427-29514___29476-29549__DOTS_1,no significant pairs
1230.ID_891:binShort:2_left_left__REDUCED__4198-4241___4238-4273__DOTS_1,no significant pairs
1231.ID_834:binShort:1_left_left__REDUCED__17949-17997___17994-18057__DOTS_1,no significant pairs
1232.ID_869:binShort:3_left_left__REDUCED__8892-8931___8928-8988__DOTS_1,no significant pairs
1233.ID_785:binShort:3_left_left__REDUCED__19872-19933___19930-19998__DOTS_1,no significant pairs
1234.ID_313:binShort:2_left_left__REDUCED__22833-22887___22884-22912__DOTS_1,no significant pairs
1235.ID_855:binShort:2_left_left__REDUCED__27860-27900___27897-27938__DOTS_1,no significant pairs
1236.ID_766:binShort:3_left_left__REDUCED__28844-28909___28906-28968__DOTS_1,no significant pairs
1237.ID_113_left__REDUCED__21043-21104___21102-21145__DOTS_1,no significant pairs
1238.ID_290_left__REDUCED__24157-24212___24210-24262__DOTS_1,no significant pairs
